title,address,access,outline,floor,fee,management_fee,deposit,gratuity,madori,menseki,url,age,total_floor,route_1,station_1,time_1,route_2,station_2,time_2,route_3,station_3,time_3
ベルファース本郷弓町,東京都文京区本郷１,"
都営三田線/水道橋駅 歩3分
東京メトロ丸ノ内線/本郷三丁目駅 歩7分
都営大江戸線/春日駅 歩7分
","
築18年
地下1地上14階建
",10階,171000,10000,171000,171000,1LDK,39.64,https://suumo.jp/chintai/jnc_000086894855/?bc=100356954480,18,14,都営三田線,水道橋,3,東京メトロ丸ノ内線,本郷三丁目,7,都営大江戸線,春日,7
グランプラス千駄木,東京都文京区千駄木３,"
東京メトロ千代田線/千駄木駅 歩5分
ＪＲ山手線/西日暮里駅 歩8分
ＪＲ京浜東北線/西日暮里駅 歩8分
","
築11年
10階建
",4階,98000,8000,98000,196000,1K,27.3,https://suumo.jp/chintai/jnc_000087714828/?bc=100361478316,11,10,東京メトロ千代田線,千駄木,5,ＪＲ山手線,西日暮里,8,ＪＲ京浜東北線,西日暮里,8
グランプラス千駄木,東京都文京区千駄木３,"
東京メトロ千代田線/千駄木駅 歩5分
ＪＲ山手線/西日暮里駅 歩8分
ＪＲ京浜東北線/西日暮里駅 歩8分
","
築11年
10階建
",8階,150000,8000,150000,300000,1LDK,42.32,https://suumo.jp/chintai/jnc_000044756759/?bc=100353917793,11,10,東京メトロ千代田線,千駄木,5,ＪＲ山手線,西日暮里,8,ＪＲ京浜東北線,西日暮里,8
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",2階,145000,10000,145000,0,1DK,25.3,https://suumo.jp/chintai/jnc_000085982729/?bc=100350314341,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",4階,184000,10000,184000,184000,1LDK,37.37,https://suumo.jp/chintai/jnc_000087092409/?bc=100358828297,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",3階,198000,15000,198000,198000,1LDK,41.23,https://suumo.jp/chintai/jnc_000084619047/?bc=100346694116,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",5階,220000,15000,220000,220000,1LDK,40.24,https://suumo.jp/chintai/jnc_000087092412/?bc=100361321355,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",2階,233000,15000,233000,233000,2DK,41.12,https://suumo.jp/chintai/jnc_000085982728/?bc=100350314355,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",2階,239000,15000,239000,239000,1LDK,46.39,https://suumo.jp/chintai/jnc_000085629952/?bc=100347827443,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",4階,243000,15000,243000,243000,2DK,41.12,https://suumo.jp/chintai/jnc_000086775423/?bc=100355452210,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",2階,245000,15000,245000,245000,2LDK,47.94,https://suumo.jp/chintai/jnc_000085629950/?bc=100360278164,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",4階,247000,15000,247000,247000,2LDK,45.76,https://suumo.jp/chintai/jnc_000087092410/?bc=100358828371,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",2階,255000,15000,255000,255000,1LDK,54.64,https://suumo.jp/chintai/jnc_000085227274/?bc=100350626257,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",5階,263000,15000,263000,263000,1LDK,54.64,https://suumo.jp/chintai/jnc_000086781226/?bc=100355769660,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",2階,264000,15000,264000,264000,2LDK,47.94,https://suumo.jp/chintai/jnc_000087683336/?bc=100350659024,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",4階,300000,15000,300000,300000,1LDK,54.64,https://suumo.jp/chintai/jnc_000086430015/?bc=100353344592,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
ブリリアイスト文京六義園,東京都文京区本駒込６,"
都営三田線/千石駅 歩4分
ＪＲ山手線/巣鴨駅 歩8分
東京メトロ南北線/駒込駅 歩10分
","
築1年
6階建
",6階,344000,15000,344000,344000,2LDK,63.71,https://suumo.jp/chintai/jnc_000085629953/?bc=100349971229,1,6,都営三田線,千石,4,ＪＲ山手線,巣鴨,8,東京メトロ南北線,駒込,10
白山HDCフラット,東京都文京区白山１,"
都営三田線/白山駅 歩1分


","
築11年
地下1地上9階建
",8階,162000,10000,0,0,1LDK,44.59,https://suumo.jp/chintai/jnc_000087559290/?bc=100360797204,11,9,都営三田線,白山,1,0,0,0,0,0,0
レジディア文京音羽,東京都文京区大塚５,"
東京メトロ有楽町線/護国寺駅 歩2分
東京メトロ丸ノ内線/茗荷谷駅 歩16分
東京メトロ丸ノ内線/新大塚駅 歩13分
","
築21年
地下1地上10階建
",8階,175000,15000,175000,175000,1LDK,44.32,https://suumo.jp/chintai/jnc_000085371347/?bc=100358424275,21,10,東京メトロ有楽町線,護国寺,2,東京メトロ丸ノ内線,茗荷谷,16,東京メトロ丸ノ内線,新大塚,13
